Application Error scanner,Application
Base64 Disclosure,Application
Check for buffer overflow in back end C code,Application
Check for proper format string handling in back end c code.,Application
Check for proper integer handling in back end c code.,Application
Content Security Policy Scanner,Application
External Redirect,Application
Heartbleed OpenSSL Vulnerability,Application
In Page Banner Info Leak,Application
Information disclosure - database error messages [Deprecated],Application
Information disclosure - debug error messages,Application
Information disclosure - sensitive information in URL,Application
Information disclosure - sensitive information on HTTP Referrer header,Application
Information disclosure - suspicious comments,Application
Insecure Component,Application
Insufficient Authentication,Application
Insufficient Authorization,Application
Parameter tampering,Application
Proxy Disclosure,Application
Server Leaks PII in response body,Application
Server side include,Application
Session Fixation,Application
Username Enumeration,Application
Weak Authentication Method,Application
Cacheability and Retrievability Content,Cache Control
Cookie poisoning,Cache Control
Incomplete or no cache-control and pragma HTTP Header set,Cache Control
Password Autocomplete in browser [Deprecated],Cache Control
Retrieved from Cache,Cache Control
Secure page browser cache [Deprecated],Cache Control
Code Injection,Code Injection
Command Injection,Code Injection
SOAP Action Spoofing,Code Injection
Cookie set without HttpOnly flag,Cookie
Cookie set without SameSite attribute,Cookie
Cookie set without secure flag,Cookie
Cookie Slack Detector,Cookie
Loosely Scoped Cookie,Cookie
CRLF injection,Cross Site Injection
Cross Site Scripting - Detection by Callback,Cross Site Injection
Cross site scripting (DOM),Cross Site Injection
Cross Site Scripting (Reflected),Cross Site Injection
Cross site scripting [Deprecated],Cross Site Injection
Cross site scripting in SCRIPT section [Deprecated],Cross Site Injection
Cross site scripting in TAG [Deprecated],Cross Site Injection
Cross Site Scripting in TAG Attribute [Deprecated],Cross Site Injection
Cross site scripting without brackets [Deprecated],Cross Site Injection
Cross-domain JavaScript source file inclusion,Cross Site Injection
Cross-Domain Misconfiguration,Cross Site Injection
Cross-Domain Requests Permitted,Cross Site Injection
LDAP Injection,Cross Site Injection
Persistent XSS (Attack),Cross Site Injection
Persistent XSS (Prime),Cross Site Injection
Persistent XSS (Spider),Cross Site Injection
User controllable javascript event (XSS),Cross Site Injection
Backup File Disclosure,Directory-Path-File
BEA WebLogic example files [Deprecated],Directory-Path-File
Cold Fusion default file [Deprecated],Directory-Path-File
Directory browsing,Directory-Path-File
Directory Browsing,Directory-Path-File
